"","X.1","X","EDCS.ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating"
"1",3,3,"EDCS-71300216","AE 2014, 01033","Dalmatia","?",NA,NA,NA,NA,"tituli sacri","Divo Iu[lio]","Divo Iu","Divo Iulio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5,5,"EDCS-28600114","CIL 03, 03156 = CIL 05, *00333","Dalmatia","?",1,300,1,300,"tituli sacri","Dian[ae(?)","Dianae","Dianae",NA,NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_fva_p30;HD062317;bu_CIL%26bibl_volume=5%26bibl_subvolume=%26bibl_insc=333%2A",NA,NA,"1 to 300"
"3",6,6,"EDCS-28600116","CIL 03, 03156b (p 1038, 1650) = Liburnia 00211","Dalmatia","?",151,300,151,300,"nomen singulare;  tituli sacri;  viri","Maximianus <v=B>ot/um sol<v=B>it","Maximianus Botum solBit","Maximianus votum solvit","lapis",NA,NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062164;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=3156b",NA,NA,"151 to 300"
"4",7,7,"EDCS-28600117","CIL 03, 03157 (p 1650) = CIL 03, 08663 = CIL 03, 14239,4","Dalmatia","?",179,179,179,179,"milites;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri","Her(culi) Aug(usto) [s]ac(rum) / Val(erius) Valens v[eter(anus)] / ex |(centurione) limite(m) / pub(licum) praeclus(um) / cu(i) ob / dece(ssum) Aur(eli) / Gall(i) leg(ati) / suo i<m=N>p[ensa] / aperuit [3] / I<m=N>p(eratore) Com(m)o[do II] / et Mar[tio] / Vero [II] / co(n)s(ulibus) VI [Kal(endas)] / Ma[i(as)]","Her Aug ac Val Valens v ex limite pub praeclus cu ob dece Aur Gall leg suo iNp aperuit INp Como et Mar Vero cos VI Ma","Herculi Augusto sacrum Valerius Valens veteranus ex centurione limitem publicum praeclusum cui ob decessum Aureli Galli legati suo impensa aperuit Imperatore Commodo II et Martio Vero II consulibus VI Kalendas Maias","lapis",NA,NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_CIL_03_03157.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051915;lu_24863;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=8663",NA,NA,"179 to 179"
"5",8,8,"EDCS-28600118","CIL 03, 03158 (p 1038) = CIL 05, *00336 = D 03320 = Liburnia 00209","Dalmatia","?",14,37,14,37,"Augusti/Augustae;  ordo decurionum;  tituli sacri;  tria nomina;  viri","Iano Patri / Aug(usto) sacrum / C(aius) Iulius C(ai) f(ilius) Ser(gia) / Aetor aed(ilis) / donatus ab(!) Ti(berio) Caes(are) / Aug(usti) f(ilio) Augusto torq(ue) / maiore bello D<a=E>lma/tico ob honorem / IIviratus cum liberis / suis posuit","Iano Patri Aug sacrum C Iulius C f Ser Aetor aed donatus ab Ti Caes Aug f Augusto torq maiore bello DElmatico ob honorem II viratus cum liberis suis posuit","Iano Patri Augusto sacrum Caius Iulius Cai filius Sergia Aetor aedilis donatus ab Tiberio Caesare Augusti filio Augusto tor que maiore bello Dalmatico ob honorem II viratus cum liberis suis posuit",NA,NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_fva_p30;HD062306;de-b0042",NA,NA,"14 to 37"
"6",9,9,"EDCS-28600119","CIL 03, 03158a = CBI 00500","Dalmatia","?",151,300,151,300,"milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / Fort(unae) / Red(uci) / G() Comarg(us) b(eneficiarius) co(n)s(ularis) leg(ionis) X / G(eminae) vot(um) solvit / libe(n)s meruit","I O M Fort Red G Comarg b cos leg X G vot solvit libes meruit","Iovi Optimo Maximo Fortunae Reduci G Comargus beneficiarius consularis legionis X Geminae votum solvit libens meruit","lapis",NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055350;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=3158a",NA,NA,"151 to 300"
"7",10,10,"EDCS-28600120","CIL 03, 03158b (p 1038) = CINar-02, 00023","Dalmatia","?",151,300,151,300,"tituli sacri;  tria nomina;  viri","D(eo?) S(oli?) I(nvicto) O(mnipotenti?) M(ithrae) / Aeterno / sacrum / Atilius Tert/[i]us ex voto / lib{i}ens posuit","D S I O M Aeterno sacrum Atilius Tertus ex voto libiens posuit","Deo Soli Invicto Omnipotenti Mithrae Aeterno sacrum Atilius Tertius ex voto libens posuit","lapis",NA,NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0005907","http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0058305;HD062304;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=3158b",NA,NA,"151 to 300"
"8",11,11,"EDCS-28600121","CIL 03, 03159 (p 2275) = IGLFriuli 00027 = Liburnia 00208","Dalmatia","?",1,150,1,150,"tituli sacri;  tria nomina;  viri","Trivi(i)s / C(aius) Aristius / Clemens / ex vot[o l(ibens) s(olvit)] m(erito)","Trivis C Aristius Clemens ex vot m","Triviis Caius Aristius Clemens ex voto libens solvit merito","lapis",NA,NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_03159.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD060162;lu_23294",NA,NA,"1 to 150"
"9",12,12,"EDCS-28600122","CIL 03, 03160","Dalmatia","?",1,150,1,150,"tituli sacri;  tria nomina;  viri","Q(uintus) Coelius / Q(uinti) f(ilius) Balbus / Vener(i) Vict(rici)","Q Coelius Q f Balbus Vener Vict","Quintus Coelius Quinti filius Balbus Veneri Victrici",NA,NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062302",NA,NA,"1 to 150"
"10",13,13,"EDCS-28600123","CIL 03, 03161 = CBI 00499","Dalmatia","?",245,245,245,245,"Augusti/Augustae;  litterae erasae;  milites;  tituli sacri;  tria nomina;  viri","M(arcus) Carmeius / Maximus b(ene)f(iciarius) / co(n)s(ularis) leg(ionis) I Adi(utricis) / P(iae) F(idelis) [[p[ro salute]]] / [Imp(eratoris)] n(ostri) v(otum) s(olvit) l(ibens) m(erito) / d(omino) n(ostro) [Philipp]o Aug(usto) / et Titiano / co(n)s(ulibus)","M Carmeius Maximus bf cos leg I Adi P F p n v s l m d n o Aug et Titiano cos","Marcus Carmeius Maximus beneficiarius consularis legionis I Adiutricis Piae Fidelis pro salute Imperatoris nostri votum solvit libens merito domino nostro Philippo Augusto et Titiano consulibus",NA,NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055340",NA,NA,"245 to 245"
