"","X","hd_nr","provinz","land","land_sort_de","land_sort_en","fo_antik","fo_modern","verw_bezirk","fundstelle","pl_ancient_loc1","koordinaten1","pl_ancient_loc2","koordinaten2","geo_id1","geo_id2","fundjahr","aufbewahrung","erhaltung","i_gattung","i_gattung_sort_de","i_gattung_sort_en","denkmaltyp","felder","material","hoehe","breite","tiefe","if_h","if_b","bh","ligatur","metrik","nl_text","dat_tag","dat_monat","dat_jahr_a","dat_jahr_e","datierung","soziales","religion","verbaende","geographie","dekor","gemeinden","militaer","bearbeiter","datum","beleg","tm_nr","gdb_id","atext","btext","literatur","beziehung","kommentar","pal_schreibtechnik","pal_interpunktion","people_uris","godot_uris","foto_nr","foto_extern","name","praenomen","nomen","cognomen","supernomen","tribus","origo","geschlecht","status","beruf","l_jahre","l_monate","l_tage","l_stunden"
"1",6,"HD000325","Dal","me",35,37,"Municipium S[---]","Pljevlja",NA,"{Komini}?",207404,"43.342242042,19.319887161",NA,NA,3304575,NA,NA,"Pljevlja, Zavičajni Muz.","V","titsac",22,22,"Altar","A",NA,41,24,20,NA,NA,"2.5","J",NA,"L",NA,NA,151,300,"Y",NA,"a",NA,NA,"J",NA,NA,"Gräf","2021-02-04",2,181727,33562,"Herculi / s(acrum) Cornif/icius Ve/rus l(ibens) v(oto) p(osuit)","HERCVLI / S CORNIF / ICIVS VE / RVS L V P","AE 1983, 0750. # A. Cermanović-Kuzmanović, Starinar 32, 1981, 76-77, Nr. 4; Taf. 2, 4. - AE 1983. #",NA,NA,NA,NA,NA,NA,NA,NA,"Cornificius Verus",NA,"Cornificius","Verus",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"2",12,"HD000680","Dal","ba",8,8,"Domavium, bei","Bratunac","Republika Srpska","{Sikirić}",207088,"44.1375478,19.4264292",NA,NA,3190904,NA,NA,"Tuzla, Muz. Istočne Bosne","F","titsac",22,22,"Altar","A",NA,64,21,18,NA,NA,NA,NA,NA,"L",NA,NA,171,300,"Y",NA,"a",NA,NA,"J",NA,NA,"Gräf","2009-03-12",12,181733,5747,"Sil(vano) Aug(usto) / M(arcus) Aurel(ius) / Maximus / l(ibens) p(osuit)","SIL AVG / M AVREL / MAXIMVS / L P","AE 1983, 0737. (B) # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 322, Nr. 24; Foto. (B) - AE 1983. #",NA,"(B): Imamović, AE 1983: Z. 1: Silv(ano).",NA,NA,NA,NA,NA,NA,"M. Aurel. Maximus","M.","Aurelius*","Maximus",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"3",13,"HD000683","Dal","ba",8,8,NA,"Novi Grad","Republika Srpska","{Blagaj Japra}",NA,"45.0332232,16.453574699",NA,NA,3203967,NA,NA,"Sarajevo, Zem. Muz.","F","titsac",22,22,"Altar","A",NA,-50,-25,25,NA,NA,NA,NA,NA,"L",NA,NA,1,100,"Y",NA,"a",NA,NA,"J",NA,NA,"Gräf","2008-09-15",12,181734,5489,"I(ovi) O(ptimo) M(aximo) / sacr(um) / P(ublius) Vo/lusi/us Se/[---](?) / [&?","I O M / SACR / P VO / LVSI / VS SE / [ ] / [","AE 1983, 0738. (B) # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 352, Nr. 74; Foto. (B) - AE 1983. #",NA,"Z. 5: Hinter S noch der obere Teil einer senkrechten und der linke Teil einer waagrechten Haste erhalten (B, D, E, F, P oder R erhalten). (B): Z. 5: s(olvit) [l(ibens) m(erito].",NA,NA,NA,NA,NA,NA,"P. Volusius Se[---](?)","P.","Volusius","Se[---]?",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"4",14,"HD000686","Dal","ba",8,8,"Raetinium?","Bihać","Unsko-sanski kanton","{Golubić}",197466,"44.785876069,15.923938752",NA,NA,3200429,NA,NA,NA,NA,"titsac",22,22,"Altar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",NA,NA,201,300,NA,NA,"a",NA,NA,NA,NA,NA,"Gräf","2018-12-13",32,181735,5553,"Silvan/o C(aius) O(---) C(---) / p(ro) s(alute) sua","SILVAN / O C O C / P S SVA","CIL 03, 10043. (B) # CIL 03, 13271. (B) # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 312, Nr. 1; Foto. (B) #",NA,"Zum selben Dedikanten(?) s. ILJug 1679 = CIMRM 1908.",NA,NA,NA,NA,NA,NA,"C. O. C.","C.","O(---)","C(---)",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"5",15,"HD000689","Dal","ba",8,8,NA,"Zenica","Zeničko-dobojski kanton",NA,NA,"44.203439199,17.907743100",NA,NA,3186573,NA,NA,"Zenica, Muz. Grada Zenice","V","titsac",22,22,"Altar","A",NA,93,35,25,NA,NA,NA,"J",NA,"L",NA,NA,251,350,"Y",NA,"a",NA,NA,NA,NA,NA,"Gräf","2017-12-19",2,181736,5467,"Hercu<l>i Aug(usto) / Aur(elius) Liciniu(s) / II(vir) posuit","HERCVI AVG / AVR LICINIV / II POSVIT","AE 1983, 0740. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 392, Nr. 144; Foto. - AE 1983. #",NA,"Z. 1: möglicherweise VL-Ligatur (nach dem Foto bei Imamović nicht zu entscheiden).",NA,NA,NA,NA,NA,NA,"Aur. Liciniu.",NA,"Aurelius*","Licinius*",NA,NA,NA,"M","3",NA,NA,NA,NA,NA
"6",16,"HD000692","Dal","ba",8,8,"Raetinium, bei?","Bihać","Unsko-sanski kanton","{Čavkići}, bei, Gromile, Flur",197466,"44.781036,15.938378",NA,"44.8829866,15.8865129",3212846,NA,NA,"Sarajevo, Zem. Muz.",NA,"titsac",22,22,"Altar",NA,"Kalkstein",-31.5,-23,10,NA,NA,"5.4",NA,NA,"L",NA,NA,151,300,NA,NA,"a",NA,NA,NA,NA,NA,"Gräf","2018-08-22",31,181737,5830,"[Ul]p(ius) Satu/[r]ninu[s] / [S]ilvano / [&?","[ ]P SATV / [ ]NINV[ ] / [ ]ILVANO / [","CIL 03, 15077. # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 312, Nr. 2; Zeichnung. # C. Patsch, WMBH 7, 1900, 50; Fig. 31 (Zeichnung). #",NA,"2 aneinanderpassende Fragmente. Zeilenlinien für die Beschriftung.",NA,"b",NA,NA,NA,NA,"[Ul]p. Satu[r]ninu[s]",NA,"Ulpius+*","Saturninus+",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"7",17,"HD000695","Dal","rs",46,46,NA,"Prijepolje","Centralna Srbija","Kolovrat, Dvorine, {Nekropole}",NA,"43.371162462,19.625402610",NA,NA,3305274,NA,1979,NA,"V","titsac",22,22,"Altar","A","Kalkstein",76.5,43.5,31.5,36,28,"5.5","J",NA,"L",NA,NA,151,300,NA,NA,"a",NA,NA,NA,NA,"J","Gräf","2020-10-12",2,181738,7159,"I(ovi) O(ptimo) M(aximo) C(ohortali) / Aur(elius) Lavius / et Ae(lia) Tito / l(ibentes) p(osuerunt)","I O M C / AVR LAVIVS / ET AE TITO / L P","AE 1983, 0743. # A. Cermanović-Kuzmanović, Starinar 32, 1981, 77, Nr. 5; Taf. 2, 5. - AE 1983. #",NA,"Z. 1: möglicherweise auch C(onservatori) aufzulösen. Z. 3: Cermanović-Kuzmanović, AE 1983: Ae(lius).",NA,NA,NA,NA,NA,NA,"Aur. Lavius|Ae. Tito",NA,"Aurelius*|Aelia*","Lavius|Tito",NA,NA,NA,"M|W",NA,NA,NA,NA,NA,NA
"8",26,"HD002463","Dal","ba",8,8,"Diluntum","Stolac","Hercegovačko-neretvanski kanton",NA,197247,"43.079776737,17.955863621",NA,NA,3189823,NA,NA,"verschollen",NA,"titsac",22,22,"Altar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",NA,NA,151,300,NA,NA,"a",NA,NA,NA,NA,"J","Gräf","2009-09-10",30,181747,5458,"Marti Aug(usto) / T(itus) Ael(ius) Firmi/nus b(ene)f(iciarius) co(n)s(ularis) / leg(ionis) XIIII g(eminae) / v(otum) s(olvit) m(erito) l(ibens)","MARTI AVG / T AEL FIRMI / NVS BF COS / LEG XIIII G / V S M L","CIL 03, 08431. (B) # CIL 03, 12789. (B) # E. Imamović, Antički kultni i votivni spomenici na području Bosne i Hercegovine (Sarajevo 1977) 388, Nr. 136. (B) # E. Schallmayer - K. Eibl - J. Ott - G. Preuß - E. Wittkopf, Der römische Weihebezirk von Osterburken 1 (Stuttgart 1990) 382, Nr. 485. # A. Škegro, OpuscArchZagreb 21, 1997, 90, Nr. 30. # M. Abramić, Starinar 1, 1922, 60. (B) #",NA,"(B): CIL III 8431; CIL III 12789; Abramić; Imamović: Lesung abweichend / unvollständig.",NA,NA,NA,NA,NA,NA,"T. Ael. Firminus","T.","Aelius*","Firminus",NA,NA,NA,"M","9",NA,NA,NA,NA,NA
"9",28,"HD002958","Dal","hr",25,10,"Salonae","Solin","Splitsko-dalmatinska županija","{Parzelle Nr. 3805 (alter Katasterplan)}",197488,"43.538373810,16.484651225",NA,NA,3190359,NA,1908,"Split, Arh. Muz.",NA,"titsac",22,22,"Architekturteil",NA,"Gesteine",-50,17,NA,NA,NA,"3-4",NA,NA,"L",NA,NA,151,300,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2019-10-01",30,181749,32324,"L(ibero) P(atri) s(acrum) / Curia/nus","L P S / CVRIA / NVS","ILJug 2050. #",NA,"Pfeiler.",NA,NA,NA,NA,NA,NA,"Curianus",NA,NA,"Curianus",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"10",30,"HD003120","Dal","hr",25,10,"Tragurium, bei","Seget","Splitsko-dalmatinska županija","Donji Seget, {Steinbruch}",197555,"43.530840744,16.226849555",NA,NA,3201395,NA,NA,"Trogir, Muz. grad. Trog.",NA,"titsac",22,22,"Altar?",NA,NA,70,32,27,NA,NA,"5.5-3",NA,NA,"L",NA,NA,42,57,"Y",NA,"a",NA,NA,NA,NA,"A","Gräf","2009-06-02",12,181751,6442,"Herculi / sacrum / P(ublius) Plotius |(centurio) leg(ionis) / VII C(laudiae) p(iae) f(idelis) / v(otum) s(olvit) l(ibens) m(erito)","HERCVLI / SACRVM / P PLOTIVS | LEG / VII C P F / V S L M","AE 1985, 0712. (B) # AE 1981, 0699. (B) # J. Jeličič, BAHD 75, 1981, 97-104; sl. 1. (B) - AE 1985. 1981. #",NA,"Altar oder Statuenbasis. Datierung: nicht vor 42 n. Chr., als die leg. VII den Beinamen p(ia) f(idelis) erhielt; sie war bis 56/57 n. Chr. in Dalmatien stationiert. (B): Jeličič, AE 1981, AE 1985: Abweichungen in Lesung / Ergänzung.",NA,NA,NA,NA,NA,NA,"P. Plotius","P.","Plotius",NA,NA,NA,NA,"M","9",NA,NA,NA,NA,NA
"11",40,"HD004225","Dal","hr",25,10,"Burnum, bei","Kistanje","Šibensko-kninska županija","{Ivoševci}",197184,"44.0160408,16.0072244",NA,NA,3199030,NA,NA,"Split, Arh. Muz.",NA,"titsac",22,22,"Altar",NA,"Gesteine",35.5,14.5,13.5,NA,NA,"2.3-1.7",NA,NA,"L",NA,NA,1,50,"Y",NA,"a",NA,NA,NA,NA,NA,"Gräf","2015-10-20",2,181761,6270,"Coran/us Iovi/le v(otum) s(olvit)","CORAN / VS IOVI / LE V S","AE 1980, 0688. # AE 2010, 1228. # CIL 03, 09898. # J. Medini, RadSveučilišteSplitFilFak 18, 1978/79, 137-149; tav. 1, 1 u. 1, 3; tav. 1, 2 (Zeichnung). - AE 1980. # S. Bekavac, RadAkZadar 52, 2010, 62-63; sl. 3 (Foto u. Zeichnung). - AE 2010. #",NA,"Z. 1 (Anfang): leicht nach links versetzt zum C ein weiteres C schwach eingeritzt; wohl eher eine verworfene Vorzeichnung als ein weiteres C; nach Medini; AE 1980: C(aius) Coran/us.","d",NA,NA,NA,NA,NA,"Coranus",NA,NA,"Coranus",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
